UIMDOMAINNAME	UIMTABLENAME	DQ_TYPE	UIMFIELDNAME	FILE_NAME	LATEST_VERSION	CDE_PK_IND	DOWNSTREAM_APPLICATION	COUNTRY	BIZ_DT	DQ_CNT	RECORD_COUNT	PERCENTAGE_NULL	PREV_BIZ_DT	PREV_DQ_CNT	PREV_RECORD_CNT	PREV_PERCENTAGE_NULL	CURRENT_AND_PREVIOUS_NULL_COUNT_DIFFERENCE	CURRENT_AND_PREVIOUS_NULL_COUNT_PERCENTAGE_DIFFERENCE	THRESHOLD_LIMIT	CATEGORY	REASON
Cards	UIMMCRDMGMTP	NULL_CHECK	DELQ_120D_AMT_IN_ACCT_CCY	IDUIMMCRDMGMTP0301	Y	N	BASEL	ID	20250731	2251904	2680158	84.0213	20250630	2262550	2690237	84.1023	-10646	-0.0809	85	Within Threshold	Null in data lake


UIMDOMAINNAME	UIMTABLENAME	DQ_TYPE	UIMFIELDNAME	FILE_NAME	LATEST_VERSION	CDE_PK_IND	DOWNSTREAM_APPLICATION	COUNTRY
Collateral	UIMDCODMGMTP	NULL_CHECK	CLTRL_PROPRTN_AMT	SGUIMDCODMGMTP0101	N	N	BASEL	SG
Cards	UIMDCRDMGMTP	NULL_CHECK	CM_RTL_BEG_BAL	SGUIMDCRDMGMTP0101	N	N	PME/BASEL Ph3	SG
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	THIS_YR_LTD_AMRT_AMT_IN_ACCOUT_CCY	TCUIMDLNSMGMTP0203	Y	N	BASEL	TC
Global Markets	UIMDGMKTRD	NULL_CHECK	TRD_STS	THUIMDGMKTRD0401	N	N	PME	TH
Limit and Facilities	UIMDLMTMGMTP	NULL_CHECK	LMT_ACCT_CCY_CD	AUUIMDLMTMGMTP0200	N	N	BASEL	AU
Finance GL	UIMDGLCFVBTM	NULL_CHECK	PROD_COAID	KRUIMDGLCFVBTM0100	N	N	PME	KR
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	LN_PAYOF_DT	KRUIMDLNSMGMTP0200	N	N	PME	KR
Cards	UIMDCRDMGMTP	NULL_CHECK	DELQ_30D_AMT_IN_ACCT_CCY	MYUIMDCRDMGMTP0304	Y	N	BASEL	MY
Finance GL	UIMDGLSPRESWPL	NULL_CHECK	GLOBL_BR_CD	MYUIMDGLSPRESWPL0100	Y	Y	BASEL	MY
Global Markets	UIMDGMKTRD	NULL_CHECK	TRD_DT	MYUIMDGMKTRD0300	N	N	PME	MY
Limit and Facilities	UIMDLMTMGMTP	NULL_CHECK	LMT_UNDRN_AMT	PHUIMDLMTMGMTP0301	Y	N	PME/BASEL	PH
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	RESID_CURR_AMT	PHUIMDLNSMGMTP0203	Y	N	BASEL	PH
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	BUSN_DT	TWUIMDLNSMGMTP0101	N	N	PME	TW
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	PROD_GRP_CD	U1UIMDLNSMGMTP0102	N	N	BASEL	U1
Trade Finance	UIMDTRFMGMTP	NULL_CHECK	CUST_SRC_NUM	U1UIMDTRFMGMTP0301	Y	N	PME/BASEL	U1
Collateral	UIMDCODMGMTP	NULL_CHECK	ORIG_VALUT_CCY_CD	AUUIMDCODMGMTP0301	Y	N	BASEL Ph3	AU
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	PRIN_PMT_FREQ_CD	CNUIMDLNSMGMTP0203	Y	N	PME	CN
Limit and Facilities	UIMDLMTMGMTP	NULL_CHECK	FAC_GRP	GBUIMDLMTMGMTP0200	N	N	BASEL	GB
Loans & Leasing	UIMDLNSMGMTP	NULL_CHECK	LN_PAYOF_DT	HKUIMDLNSMGMTP0203	Y	N	PME	HK
Application	UIMDAPPLPDTDTL	NULL_CHECK	LO_REQ_IND	MMUIMDAPPLPDTDTL0200	Y	N	BASEL Ph3	MM
CASA (Including OD)	UIMDCASAODMGMTP	NULL_CHECK	CAMPN_NM	MYUIMDCASAODMGMTP0202	N	N	PME	MY
Global Markets	UIMDGMKTRD	NULL_CHECK	ISS_DT	SGUIMDGMKTRD0401	N	N	PME	SG
Party	UIMDCUSTCMPR	NULL_CHECK	CTRY_OF_RSDN	TCUIMDCUSTCMPR0102	Y	N	PME	TC
Cards	UIMDCRDMGMTP	NULL_CHECK	FAC_PDUE_AMT_TXN_CCY	THUIMDCRDMGMTP0101	N	N	PME/BASEL	TH
Global Markets	UIMDGMKTRD	NULL_CHECK	SWIFT_CD	THUIMDGMKTRD0200	N	N	BOT Ph2	TH
Global Markets	UIMDGMKTRD	NULL_CHECK	UNRLSD_PNL_AMT_FRGN_CCY	VNUIMDGMKTRD0402	Y	N	P
